"","3","5","10","20","30","CentDT"
"australian",83.1884057971015,84.2028985507246,84.3478260869565,84.6376811594203,84.4927536231884,83.4782608695652
"breast",93.128364389234,92.6997929606625,92.9834368530021,92.6977225672878,92.2691511387164,92.8426501035197
"breastcancer",69.9261083743842,70.9729064039409,73.0788177339901,70.2955665024631,71.0098522167488,70.2832512315271
"diabetes",72.406015037594,72.2795625427204,73.3168147641832,72.5393028024607,72.9306220095694,71.61995898838
"heart",74.0740740740741,74.4444444444444,75.5555555555556,74.4444444444444,74.0740740740741,74.8148148148148
"hepatitis",80.7916666666667,80.7916666666667,82.6666666666667,81.4166666666667,81.4166666666667,82.0416666666667
"ionosphere",84.3095238095238,86.5873015873016,86.8730158730159,83.4523809523809,82.8809523809524,86.4603174603175
"labor",74,75.6666666666667,75.6666666666667,69.4444444444444,66.6666666666667,79.3333333333333
"liver-disorders",56.8067226890756,55.9243697478992,55.3697478991597,55.9663865546218,55.672268907563,61.5882352941176
"mushroom",99.9014778325123,99.9014778325123,99.9014778325123,99.7661461836293,99.8030617005678,100
"sick",97.7734270837719,97.8264073091659,97.7733569112879,97.7468317123489,97.72030651341,97.905702216047
"sonar",63.0952380952381,62.2142857142857,66.9285714285714,66.9523809523809,66.9523809523809,63
"tic-tac-toe",75.375,80.5888157894737,82.0427631578947,81.3114035087719,80.4736842105263,88.4577850877193
"vote",94.7463002114165,94.2811839323467,95.4281183932347,95.4281183932347,95.4281183932347,95.5311839323467
"Average",79.9658802900423,80.5986985820579,81.5666311301927,80.4356769174683,80.1278971038761,81.9540828570254
"RankSum",58,53,33,50,57,37
