"","3","5","10","20","30","PureDT"
"australian",0.83206737815024,0.842176023738718,0.844029106392301,0.845432328785008,0.845271017132427,0.835225059658043
"breast",0.931191371633971,0.92687426165626,0.929791162011828,0.925801833779426,0.922909572816532,0.928077699614001
"breastcancer",0.660921512179653,0.668743933549163,0.694372546169757,0.66274369856259,0.668203620029948,0.678808943888135
"diabetes",0.700380336947582,0.705660921275671,0.716875435761147,0.711270505262709,0.710391898978031,0.705648349035834
"heart",0.739613231277024,0.742998041820951,0.752335060953534,0.7448033150332,0.741296876814118,0.749025589532828
"hepatitis",0.805377000713208,0.805377000713208,0.831915433603812,0.818771799168542,0.818771799168542,0.81054559957145
"ionosphere",0.834886799835216,0.857763300044014,0.860275539530964,0.831638984783725,0.819493909005377,0.861952055763517
"labor",0.747448979591837,0.760912698412698,0.760912698412698,0.714153439153439,0.638988095238095,0.799051878061166
"liver-disorders",0.54368035867626,0.535136345406178,0.522951627276926,0.53099748628207,0.521088719897647,0.60171878736817
"mushroom",0.999014707971514,0.999014707971514,0.999014707971514,0.997907174129728,0.998030331509088,1
"sick",0.977177768104779,0.97770637421626,0.977279008002476,0.977211400277215,0.976970182985497,0.978310615393095
"sonar",0.628736038255884,0.623561650645511,0.671383124884269,0.674652985654377,0.6693966071277,0.630816239189237
"tic-tac-toe",0.757239406071034,0.809503875495518,0.823444671445481,0.816543364117243,0.806260295897397,0.884692809533611
"vote",0.947554730274029,0.942856214016005,0.954552389969557,0.954554544737241,0.954554544737241,0.955438562079861
"Average",0.793234972834445,0.799877524925834,0.809938036599019,0.800463061409037,0.792259105095546,0.815665156334925
"RankSum",69,57,34,51,67,33
