"","3","5","10","20","30","CentJ48"
"australian",0.800984244213741,0.818682688366279,0.82048003437743,0.844245318305596,0.847514486320784,0.829682360496709
"breast",0.916194117878292,0.932560759425644,0.94256064891153,0.939840193219846,0.939883871548408,0.928314896474357
"breastcancer",0.673309714300478,0.661545496494415,0.662878424155757,0.645999976341228,0.637090807242479,0.685151994135181
"diabetes",0.662932372813213,0.661124575119118,0.658033901311209,0.678175405875338,0.687814788764305,0.711590557564138
"heart",0.68810382216428,0.70538806328022,0.74358579416672,0.72623028855485,0.725266801100134,0.759236063803057
"hepatitis",0.763072760572761,0.763072760572761,0.790805513930514,0.820980870980871,0.811721611721612,0.805138125763126
"ionosphere",0.855213160281358,0.887026891783869,0.881422112016081,0.8650287999038,0.854806966664575,0.902319865418616
"labor",0.913194444444444,0.913194444444444,0.921875,0.895833333333333,0.895833333333333,0.870987654320988
"liver-disorders",0.578753570939685,0.612011215879051,0.616772521729724,0.584871500010199,0.579801425541725,0.657924568748944
"mushroom",0.990727134770513,0.991315042725398,0.990836155995758,0.993708650073168,0.993589631207503,1
"sick",0.978248178661069,0.978611364390996,0.978167506501537,0.977294732198318,0.97696673995455,0.978536512350715
"sonar",0.645630665630666,0.612651901669759,0.658099835893954,0.611102779495637,0.617752703645561,0.648722741038918
"tic-tac-toe",0.78418083241674,0.800305972886423,0.822637321637397,0.823283983298519,0.811348462835265,0.925782394566038
"vote",0.927105544649149,0.926028896481615,0.939332225994901,0.948284150908326,0.948527143086354,0.958654624818831
"Average",0.798403611695456,0.804537148108571,0.816249071187322,0.811062855892788,0.809137055211899,0.833003025678544
"RankSum",65,56,43,47,51,29
