"","3","5","10","20","30","PureDT"
"australian",0.831884057971015,0.842028985507246,0.843478260869565,0.844927536231884,0.844927536231884,0.834782608695652
"breast",0.93128364389234,0.926997929606625,0.929834368530021,0.925548654244306,0.922691511387164,0.928426501035197
"breastcancer",0.699261083743842,0.709729064039409,0.730788177339901,0.706527093596059,0.710098522167488,0.702832512315271
"diabetes",0.72406015037594,0.724094326725906,0.737064251537936,0.730604921394395,0.729306220095694,0.7161995898838
"heart",0.740740740740741,0.744444444444444,0.755555555555556,0.744444444444444,0.740740740740741,0.748148148148148
"hepatitis",0.807916666666667,0.807916666666667,0.826666666666667,0.814166666666667,0.814166666666667,0.820416666666667
"ionosphere",0.843095238095238,0.865873015873016,0.868730158730159,0.840238095238095,0.828809523809524,0.864603174603175
"labor",0.74,0.756666666666667,0.756666666666667,0.727777777777778,0.666666666666667,0.793333333333333
"liver-disorders",0.568067226890756,0.559243697478992,0.553697478991597,0.565378151260504,0.55672268907563,0.615882352941176
"mushroom",0.999014778325123,0.999014778325123,0.999014778325123,0.997907464296318,0.998030617005677,1
"sick",0.977734270837719,0.978264073091659,0.977733569112879,0.977468317123489,0.9772030651341,0.97905702216047
"sonar",0.630952380952381,0.622142857142857,0.669285714285714,0.674285714285714,0.66952380952381,0.63
"tic-tac-toe",0.75375,0.805888157894737,0.820427631578947,0.815230263157895,0.804736842105263,0.884577850877193
"vote",0.947463002114165,0.942811839323467,0.954281183932347,0.954281183932347,0.954281183932347,0.955311839323467
"Average",0.799658802900423,0.806079750199058,0.815944604437363,0.808484734546421,0.801278971038761,0.819540828570253
"RankSum",65,56,35,52,63,38
