"","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureWeka"
"australian",0.81567047482794,0.824074063340219,0.849580767852248,0.829682360496709
"breast",0.931254592377897,0.933095554926541,0.925758701490404,0.928314896474357
"breastcancer",0.657391604095423,0.647931832784906,0.711325284928483,0.685151994135181
"diabetes",0.676541176555274,0.678067769479894,0.751157512894084,0.711590557564138
"heart",0.725696840930909,0.715043080160039,0.758075579868665,0.759236063803057
"hepatitis",0.805731074481075,0.781499287749288,0.847490665198999,0.805138125763126
"ionosphere",0.847623511057092,0.874895313726594,0.895718376072609,0.902319865418616
"labor",0.902777777777778,0.854861111111111,0.811111111111111,0.870987654320988
"liver-disorders",0.59467684452143,0.586771752216949,0.609297285520397,0.657924568748944
"mushroom",0.990250414315326,0.990015877601999,0.999018878929448,1
"sick",0.978243777324211,0.977397636757177,0.977476031455246,0.978536512350715
"sonar",0.646847887562173,0.640019847099679,0.656700336700337,0.648722741038918
"tic-tac-toe",0.789911817296274,0.793949250196708,0.788103653611013,0.925782394566038
"vote",0.941055672690473,0.950714880909554,0.949658519876391,0.958654624818831
"Average",0.807405247558091,0.803452661290047,0.823605193250674,0.833003025678544
"RankSum",41,45,31,23
