"","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureWeka"
"australian",0.792753623188406,0.805797101449275,0.839130434782609,0.82463768115942
"breast",0.929855072463768,0.93128364389234,0.924140786749482,0.92703933747412
"breastcancer",0.657758620689655,0.664285714285714,0.737931034482759,0.681896551724138
"diabetes",0.684962406015038,0.686278195488722,0.738397129186603,0.712303485987697
"heart",0.688888888888889,0.685185185185185,0.733333333333333,0.740740740740741
"hepatitis",0.782083333333333,0.77,0.827083333333333,0.801666666666667
"ionosphere",0.834920634920635,0.843571428571429,0.874444444444444,0.897380952380952
"labor",0.826666666666667,0.81,0.74,0.826666666666667
"liver-disorders",0.594033613445378,0.588151260504202,0.603193277310924,0.654957983193277
"mushroom",0.990030235277722,0.989784232817698,0.999014778325123,1
"sick",0.97799741765259,0.97693711141987,0.977468317123489,0.978791770171081
"sonar",0.601666666666667,0.601428571428571,0.621666666666667,0.624285714285714
"tic-tac-toe",0.774561403508772,0.777708333333333,0.742225877192982,0.924879385964912
"vote",0.935835095137421,0.9473044397463,0.947463002114165,0.956501057082452
"Average",0.790858119846781,0.791265372723046,0.80753517250328,0.825124856678417
"RankSum",43,45,31,20
